Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Quick text 1 (product.metafields.custom.quick_text_1),Quick text 2 (product.metafields.custom.quick_text_2),Quick text 3 (product.metafields.custom.quick_text_3),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Allergy-friendly features (product.metafields.shopify.allergy-friendly-features),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Pile type (product.metafields.shopify.pile-type),Rug features (product.metafields.shopify.rug-features),Rug material (product.metafields.shopify.rug-material),Rug shape (product.metafields.shopify.rug-shape),Size (product.metafields.shopify.size),Style (product.metafields.shopify.style),Suitable space (product.metafields.shopify.suitable-space),Theme (product.metafields.shopify.theme),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
8x10-vintage-wool-rug-red-geometric,"Fine Serapi Area Rug 8x10 Handmade Wool Oriental Rug, Deep Red Tribal Geometric Pattern Living Room Carpet","<p>Add rich character and timeless style to your space with this handmade Fine Serapi wool rug, featuring an intricate tribal geometric layout filled with symbolic motifs and balanced symmetry. The deep red field is beautifully layered with blue, green, gold, ivory, and soft turquoise accents, creating a vibrant yet harmonious centerpiece for any room.</p>
<p>Fine Serapi rugs are known for their detailed craftsmanship, bold patterns, and durable wool construction, making them ideal for living rooms, dining areas, and statement interiors. This rug is hand-knotted from 100% natural wool, offering a dense texture, long-lasting durability, and a comfortable feel underfoot.</p>
<p>The carefully arranged medallions and decorative borders create visual depth and movement while maintaining balance, making this rug a striking focal point without overwhelming the space.</p>
<p>Rug Details</p>
<p>Design: Fine Serapi</p>
<p>Pattern: Tribal geometric with multiple medallion motifs</p>
<p>Primary Colors: Deep red</p>
<p>Accent Colors: Blue, green, gold, ivory, turquoise</p>
<p>Material: 100% natural wool</p>
<p>Construction: Hand-knotted</p>
<p>Condition: New</p>
<p>Size:</p>
<p>Feet: 8.2 x 10.4 ft</p>
<p>Centimeters: 250 x 314 cm</p>
<p>Pile: Medium wool pile, durable and comfortable</p>
<p>Ideal For:</p>
<p>✔ Living rooms &amp; dining rooms<br>✔ Statement interiors<br>✔ Offices &amp; creative spaces<br>✔ Bold, warm, and layered décor styles</p>",Wei Rugs,Uncategorized,"","8x10 area rug, 8x10 bedroom rug, Blue floral rug, fine knotted rug, Floral Wall Hanging, Handmade Silk Rug, Luxury Silk Carpet, Luxury Wall Art Rug, Oriental design rug, serapi wool rug, silk wall hanging, Wall Art Carpet, wool area rug",true,Title,Default Title,,,,,,,,'2095,0.0,shopify,1,deny,manual,2199.00,4399.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7537362734_nwqr.jpg?v=1766571442,1,"",false,8x10 Vintage Wool Area Rug | Colorful Red Geometric,Handmade 8x10 vintage wool rug with bold red geometric design. Traditional farmhouse rug for living room décor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,,active
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7537363070_i3kx.jpg?v=1766571442,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7585301577_81wj.jpg?v=1766571442,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7585301395_6qnp.jpg?v=1766571442,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7585301653_iijc.jpg?v=1766571442,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7585301227_tfgy.jpg?v=1766571442,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7537362918_kdro.jpg?v=1766571442,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7537363290_qzlf.jpg?v=1766571442,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7537363154_2xrp.jpg?v=1766571442,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x10-vintage-wool-rug-red-geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0919/1676/3439/files/il_fullxfull.7585301805_f78u.jpg?v=1766571442,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
